left eye - 1 (centre x),left eye - 1 (centre y),left eye - 2 (inner corner x),left eye - 2 (inner corner y),left eye - 3 (outer corner x),left eye - 3 (outer corner y),right eye - 1 (centre x),right eye - 1 (centre y),right eye - 2 (inner corner x),right eye - 2 (inner corner y),right eye - 3 (outer corner x),right eye - 3 (outer corner y),left eyebrow - 1 (inner end x),left eyebrow - 1 (inner end y),left eyebrow - 2 (outer end x),left eyebrow - 2 (outer end y),right eyebrow - 1 (inner end x),right eyebrow - 1 (inner end y),right eyebrow - 2 (outer end x),right eyebrow - 2 (outer end y),mouth - 1 (left corner x),mouth - 1 (left corner y),mouth - 2 (right corner x),mouth - 2 (right corner y),mouth - 3 (centre top lip x),mouth - 3 (centre top lip y),mouth - 4 (centre bottom lip x),mouth - 4 (centre bottom lip y),mouth - 5 (extra x),mouth - 5 (extra y),mouth - 6 (extra x),mouth - 6 (extra y),expression
65.2301886792,34.3426415094,58.7538113208,35.5571320755,70.0863396226,35.5571320755,28.8027169811,33.9378113208,34.4694339623,35.1523018868,24.350490566,35.5571320755,53.896754717,28.2710943396,76.1578867925,28.2710943396,38.5168301887,26.2478490566,16.6605283019,27.8671698113,57.134490566,71.5797735849,34.0646037736,70.7701132075,46.4694339623,65.2600754717,46.2067924528,81.6978113208,46.4694339623,65.2600754717,46.2067924528,81.6978113208,neu
66.7376,39.8864,61.0176,39.8864,73.1736,41.3168,30.2704,38.8144,36.348,39.8864,24.9072,39.5288,55.6544,29.876,81.0392,35.596,44.2136,29.1608,15.612,34.1664,61.7328,82.432,33.488,81.36,48.504,72.7792,47.7888,94.588,48.504,72.7792,47.7888,94.588,neu
66.5747368421,37.308,59.0362105263,38.2768421053,73.9130526316,38.4366315789,30.4452631579,37.308,38.0538947368,38.3513684211,23.6715789474,38.7189473684,57.8242105263,27.1465263158,79.2757894737,30.5336842105,38.9134736842,27.7111578947,18.8728421053,29.9690526316,64.0338947368,74.2837894737,35.244,74.8477894737,49.0743157895,68.3557894737,49.6389473684,83.88,49.0743157895,68.3557894737,49.6389473684,83.88,smile
65.2705882353,34.9402352941,60.5032156863,34.9402352941,70.0373333333,36.3419607843,33.022745098,32.9769411765,36.9487058824,34.0988235294,27.6950588235,34.3792941176,58.2600784314,29.8923921569,75.3650196078,29.3314509804,40.3457254902,29.1683137255,22.6478431373,27.649254902,57.1381960784,68.5891764706,34.9854117647,67.1874509804,46.4828235294,63.5419607843,46.2023529412,74.1979607843,46.4828235294,63.5419607843,46.2023529412,74.1979607843,neu
66.6071578947,38.9381052632,61.7145263158,38.9381052632,73.0046315789,40.4429473684,28.5962105263,36.3031578947,34.6181052632,37.4324210526,22.5743157895,37.4324210526,56.8218947368,30.6585263158,78.6501052632,31.7869473684,37.2522105263,29.5292631579,16.5532631579,28.0235789474,61.3381052632,76.1953684211,31.2303157895,74.3141052632,45.5317894737,70.5507368421,44.7789473684,84.4749473684,45.5317894737,70.5507368421,44.7789473684,84.4749473684,sad
68.4912941176,35.9002352941,62.3221960784,36.1807058824,74.3799215686,37.3025882353,27.8312156863,37.0221176471,34.8417254902,37.0221176471,21.3816470588,38.4244705882,57.8352941176,26.0860862745,81.3898039216,26.9273098039,38.2061176471,26.9273098039,13.5303529412,30.5725490196,64.0043921569,79.3643921569,36.5239215686,77.9626666667,49.7035294118,71.232627451,49.4230588235,85.8139607843,49.7035294118,71.232627451,49.4230588235,85.8139607843,smile
66.6769411765,33.9412235294,60.3670588235,35.2031294118,71.724,33.3103058824,30.7136470588,36.1495058824,36.7072941176,36.4649647059,24.0889411765,36.1495058824,59.4211764706,29.8401882353,77.0872941176,27.6319764706,38.916,31.4175529412,17.9774117647,30.7551529412,64.4682352941,72.4277647059,35.7614117647,73.0588235294,50.2722352941,71.7967058824,50.5877647059,82.5225882353,50.2722352941,71.7967058824,50.5877647059,82.5225882353,sad
66.8504275862,35.6369875862,61.2288,36.5246234483,71.5848827586,35.3411089655,32.5281103448,36.5246234483,38.149737931,37.4123255172,26.0186482759,37.1164468966,59.0419862069,31.9251641379,76.0227310345,28.8316468966,40.5166344828,32.086377931,21.8760827586,32.6781351724,65.3707034483,71.4392275862,35.7828413793,71.7345103448,50.2808275862,70.2554482759,49.688937931,80.6115310345,50.2808275862,70.2554482759,49.688937931,80.6115310345,sad
67.8395076923,38.5979076923,60.1393230769,39.6979692308,76.8605538462,40.3580061538,28.0167384615,36.3977353846,38.3576615385,38.3778953846,20.5361230769,37.0577723077,57.7191384615,27.3770830769,85.8811076923,34.1975630769,41.4375384615,24.5168738462,13.2755692308,26.4970338462,66.5196307692,78.8608,27.7966769231,77.5409230769,47.1581538462,70.5004307692,46.2779076923,88.9816615385,47.1581538462,70.5004307692,46.2779076923,88.9816615385,sad
69.2334545455,40.0215272727,60.2626909091,40.0215272727,76.2545454545,40.4116363636,25.5508363636,38.0718545455,33.3512727273,38.4619636364,17.7495272727,38.8520727273,59.4833454545,28.3208727273,83.3376,33.2875636364,35.3009454545,25.9810909091,11.8996363636,28.3208727273,62.2132363636,81.3643636364,29.4510545455,81.3643636364,46.6123636364,76.6848,45.8321454545,93.456,46.6123636364,76.6848,45.8321454545,93.456,sad
65.5956,36.6264,59.1474,37.9068,72.8352,36.8946,31.5408,39.3078,37.9764,39.8442,24.204,39.9852,57.5508,27.50934,77.9298,29.92266,38.5128,30.1908,18.6702,34.4811,66.1314,70.6806,36.9036,73.362,50.8476,67.9992,51.3834,82.7472,50.8476,67.9992,51.3834,82.7472,smile
64.7624661654,34.9333894737,59.9242105263,35.901112782,70.5693834586,35.2559639098,31.8597293233,37.1914827068,37.9885714286,37.5140571429,27.3433984962,38.4817804511,55.0852330827,30.417275188,74.8511278195,27.5928541353,37.665924812,32.0301473684,19.4201503759,34.3336421053,63.4726015038,72.9975338346,40.2463759398,74.2881203008,50.2469774436,69.4491428571,52.1821353383,83.3200601504,50.2469774436,69.4491428571,52.1821353383,83.3200601504,smile
66.0827368421,37.1537052632,59.8730526316,38.2827789474,72.5747368421,38.8472842105,27.9783157895,37.4359578947,34.4703157895,38.2827789474,21.7686315789,38.5650315789,56.7682105263,28.4037473684,78.5021052632,28.686,35.0343157895,28.1214947368,14.712,30.6617684211,62.9778947368,77.7985263158,35.8812631579,78.3631578947,48.0183157895,70.1778947368,48.8652631579,84.5728421053,48.0183157895,70.1778947368,48.8652631579,84.5728421053,sad
64.7185822785,35.8612253165,59.2878987342,37.761964557,71.2356455696,36.1327594937,31.5906835443,39.1193924051,37.564556962,39.1193924051,24.8020253165,40.2057721519,56.8435443038,27.715078481,76.3947341772,28.8012151899,37.8361518987,29.6158177215,17.7423797468,35.318156962,66.0759493671,68.9887594937,36.4781772152,71.7041012658,51.4128607595,66.5450126582,51.6844556962,76.0490126582,51.4128607595,66.5450126582,51.6844556962,76.0490126582,sad
66.3343157895,33.7212631579,59.9368421053,34.8496842105,71.6033684211,34.4741052632,29.0770526316,34.0976842105,35.8509473684,34.8496842105,23.808,35.6025263158,59.5604210526,22.0544,79.1301052632,25.0651789474,41.12,24.6888421053,14.0227368421,28.8286315789,61.4425263158,73.6134736842,39.2378947368,72.8606315789,50.1515789474,67.5915789474,49.776,83.0223157895,50.1515789474,67.5915789474,49.776,83.0223157895,smile
64.5530434783,36.524173913,58.4006956522,37.5387130435,69.5269565217,36.524173913,32.219826087,38.0786086957,36.8834782609,38.7004521739,26.3130434783,39.0113391304,56.5356521739,27.8333217391,76.0556521739,27.5083130435,39.6813913043,30.3062956522,19.7843478261,31.239026087,61.7544347826,74.4528695652,35.3286956522,75.6966956522,48.6970434783,72.2768695652,49.0733913043,80.9342608696,48.6970434783,72.2768695652,49.0733913043,80.9342608696,smile
65.3184,35.2704,60.170496,36.29952,71.153664,33.55392,30.3095808,38.702592,35.4579456,38.702592,24.1314816,39.045888,55.708416,31.151616,74.24256,23.943936,37.1740416,31.838208,15.8727936,32.312064,66.691584,73.368576,37.1740416,77.829888,50.559744,70.965504,51.932928,81.948672,50.559744,70.965504,51.932928,81.948672,smile
65.4594098361,38.9085639344,59.8323934426,39.6118819672,71.0856393443,39.6118819672,32.0514098361,39.2602229508,37.3259016393,39.6118819672,25.017442623,39.6118819672,55.9640655738,31.1719868852,76.4647868852,31.729495082,39.4363278689,30.8202491803,18.336,33.2819409836,60.8876065574,79.7020327869,32.0514098361,79.350295082,46.8212459016,71.6136393443,47.1729836066,93.0649180328,46.8212459016,71.6136393443,47.1729836066,93.0649180328,neu
65.3769142857,38.1289142857,58.4306285714,39.3545142857,72.1188571429,38.7414857143,29.2155428571,39.5588571429,35.9574857143,39.9675428571,22.0649142857,40.3762285714,54.7529142857,27.70944,80.2907428571,28.7309257143,38.2048,28.1180342857,13.0756571429,31.1825371429,63.5378285714,78.7844571429,33.3014857143,80.0105142857,47.1940571429,70.8169142857,48.2153142857,90.0210285714,47.1940571429,70.8169142857,48.2153142857,90.0210285714,neu
72.3531851852,34.4170666667,63.8785185185,34.9467259259,78.9736296296,36.0060444444,28.6554074074,32.8280296296,35.5407407407,33.3576888889,20.9754074074,33.8873481481,57.7872592593,27.0016592593,87.184,28.5906962963,39.2485925926,26.472,14.6192592593,25.4126814815,66.5268148148,78.6441481481,30.509037037,77.3202962963,45.8696296296,74.9368888889,46.3994074074,88.7081481481,45.8696296296,74.9368888889,46.3994074074,88.7081481481,neu
64.1555928144,35.2538443114,57.2384191617,36.1483113772,71.9195209581,35.9551616766,30.7579401198,35.2538443114,37.5204790419,36.1741796407,23.8217964072,37.0525508982,56.7055329341,25.7486946108,75.4594491018,28.8316167665,37.180742515,26.0056526946,17.398994012,30.1158323353,61.8435449102,70.9635449102,34.3547784431,71.7344191617,47.9706826347,62.7426107784,48.7415568862,82.5243592814,47.9706826347,62.7426107784,48.7415568862,82.5243592814,sad
64.9562926829,35.2355121951,59.2009756098,36.543804878,72.019902439,36.8054634146,29.1166829268,35.2355121951,35.6569756098,36.8054634146,22.0530731707,36.543804878,58.1549268293,26.8643121951,78.2985365854,30.2651707317,38.5346341463,27.3875121951,16.2977560976,30.2651707317,61.0325853659,72.3834146341,32.5176585366,72.9067317073,48.2136585366,65.3203902439,47.1676097561,81.0163902439,48.2136585366,65.3203902439,47.1676097561,81.0163902439,neu
69.4417534247,37.8516164384,62.5849863014,38.2435068493,76.2985205479,39.8110684932,28.6934794521,35.6966575342,35.3543013699,37.2642191781,21.053369863,36.4804383562,57.3816986301,30.6415342466,83.938630137,32.1705205479,39.9802739726,29.5859726027,13.8047123288,29.2322191781,64.1525479452,80.5589041096,30.2610410959,78.7958356164,45.9331506849,77.2287123288,46.1290958904,88.1994520548,45.9331506849,77.2287123288,46.1290958904,88.1994520548,sad
67.5088695652,35.7276521739,61.2135652174,36.8932173913,74.9702608696,37.3596521739,30.6683478261,33.6292173913,36.7304347826,35.9608695652,23.9060869565,34.3283478261,60.5139130435,28.2662608696,80.3332173913,30.8311304348,40.927826087,28.2662608696,18.3803478261,28.2746086957,60.0474782609,73.7342608696,32.0671304348,72.3349565217,47.9227826087,67.4384347826,46.0575652174,81.8953043478,47.9227826087,67.4384347826,46.0575652174,81.8953043478,sad
65.3780719424,35.6320230216,59.5130935252,36.5579741007,71.8597985612,35.9406733813,30.1909640288,34.3974215827,35.1297841727,35.9406733813,24.326676259,34.7060719424,58.8963453237,29.1502273381,77.106647482,26.372305036,38.8337266187,29.4588776978,17.8449496403,27.2983251799,60.1305323741,76.992,32.0432805755,76.6832805755,45.0067338129,73.5967769784,45.3154532374,84.3998848921,45.0067338129,73.5967769784,45.3154532374,84.3998848921,neu
66.05952,36.84864,60.0528,37.70688,72.49536,37.70688,26.58912,37.70688,32.16576,37.70688,19.72416,38.56512,55.33344,29.126496,78.93024,28.697472,34.74048,30.413664,14.14656,29.55552,63.91488,77.60736,30.87936,78.03648,45.89472,72.02976,47.18208,86.18784,45.89472,72.02976,47.18208,86.18784,sad
64.7124897959,34.2680816327,58.8754285714,34.8519183673,69.9657142857,34.8519183673,30.8571428571,32.2253061224,36.1103673469,33.3923265306,25.6032653061,33.1010612245,57.1239183673,27.8471836735,76.6785306122,29.3067755102,40.4884897959,28.1391020408,20.058122449,25.8044081633,58.5835102041,67.8321632653,33.7756734694,66.6644897959,46.9093877551,63.7459591837,45.7417142857,77.7547755102,46.9093877551,63.7459591837,45.7417142857,77.7547755102,neu
66.2149565217,35.637773913,59.9972173913,36.5704347826,72.1224347826,35.637773913,30.4626086957,37.5030956522,37.3022608696,37.5030956522,23.9339130435,37.5030956522,58.132173913,30.352626087,75.5422608696,28.4872347826,38.5460869565,30.6635130435,19.2702608696,33.1506086957,64.3499130435,73.5666086957,34.8153043478,74.1885217391,49.7377391304,71.7015652174,50.3596521739,82.8932173913,49.7377391304,71.7015652174,50.3596521739,82.8932173913,neu
67.03968,32.372016,60.38976,33.230064,73.6896,34.088112,27.13968,32.372016,33.36096,33.230064,20.06064,33.444576,58.24464,26.365536,80.55408,25.722,35.50608,25.507488,13.62528,24.220416,61.67712,74.41728,30.78672,74.41728,47.08992,71.84304,46.87536,83.64144,47.08992,71.84304,46.87536,83.64144,smile
64.3324931507,34.6072767123,59.6304657534,35.4888328767,69.0338630137,34.3133589041,32.8898630137,37.2519452055,37.5912328767,37.5457972603,26.7189041096,37.5457972603,57.2797808219,29.3178082192,74.6176438356,26.085369863,40.5297534247,31.0809863014,19.0783561644,32.5502465753,62.2757260274,71.9270136986,36.1223013699,73.6905205479,50.5209863014,69.8702465753,50.8149041096,77.5101369863,50.5209863014,69.8702465753,50.8149041096,77.5101369863,neu
69.3751578947,37.9984,61.8484210526,37.6220631579,76.1490526316,39.5037473684,28.7301052632,36.8693894737,35.8804210526,37.6220631579,21.9553684211,38.3747368421,56.1557894737,28.2846315789,82.1709473684,31.9769263158,36.2568421053,25.9554526316,15.9343157895,29.7188210526,66.3637894737,75.2564210526,32.1170526316,74.5035789474,48.2997894737,70.3637894737,47.1705263158,88.4286315789,48.2997894737,70.3637894737,47.1705263158,88.4286315789,smile
65.7956923077,38.3009230769,58.6455384615,40.2258461538,72.6713846154,40.2258461538,30.8683076923,40.2258461538,36.9187692308,41.8756923077,23.4430769231,41.6012307692,55.8953846154,30.6,76.5218461538,31.1501538462,36.6436923077,30.3249230769,17.6670769231,34.4504615385,66.3458461538,78.7286153846,32.7932307692,78.4535384615,47.6443076923,71.0283076923,47.9193846154,81.4787692308,47.6443076923,71.0283076923,47.9193846154,81.4787692308,neu
67.000754717,39.1553207547,61.3340377358,38.750490566,73.4771320755,40.3695396226,28.9548679245,36.3220528302,35.025509434,36.7267924528,22.8833207547,36.7267924528,57.6914716981,32.2745660377,80.3574339623,33.084045283,39.8825660377,30.6556075472,17.217509434,28.631909434,61.3340377358,76.3915471698,30.1693584906,73.5586415094,46.3589433962,69.9160754717,45.5492830189,83.6775849057,46.3589433962,69.9160754717,45.5492830189,83.6775849057,neu
66.2255575221,38.0610265487,61.2904778761,38.8205309735,72.6804955752,38.8205309735,29.0174867257,37.3015221239,35.4724247788,38.0610265487,23.3229026549,38.0610265487,54.4557876106,29.3284247788,81.7928495575,32.7453451327,38.8893451327,28.568920354,14.9700530973,30.8474336283,63.1883893805,76.7881061947,34.3331681416,77.1678584071,47.6219469027,67.6757522124,47.6219469027,83.6219469027,47.6219469027,67.6757522124,47.6219469027,83.6219469027,smile
65.3670993377,38.5818278146,58.5479205298,41.1388609272,72.754013245,40.2863046358,30.7034701987,38.2976423841,36.3859072848,40.5704900662,23.3159205298,38.2976423841,53.0485827815,31.3633907285,80.7099337748,34.8880529801,40.0269139073,31.0086357616,14.7922649007,31.7626490066,61.9575099338,81.7691125828,29.2831788079,80.3481854305,45.1937483444,77.222781457,45.1937483444,87.1673642384,45.1937483444,77.222781457,45.1937483444,87.1673642384,smile
67.5193043478,35.2512,60.9902608696,36.6501913043,73.5819130435,35.7175304348,29.28,36.6501913043,34.8751304348,37.1165217391,22.7509565217,36.6501913043,54.9276521739,29.6551304348,80.1099130435,27.323373913,36.7408695652,29.6551304348,15.2890434783,30.5877913043,65.6535652174,73.4911304348,34.4086956522,74.8904347826,50.2643478261,70.6925217391,51.1972173913,79.5537391304,50.2643478261,70.6925217391,51.1972173913,79.5537391304,neu
65.6286967742,38.0766967742,59.2623483871,40.2908903226,73.378683871,40.2908903226,31.3059096774,39.183483871,38.2259612903,41.3982967742,24.1090064516,40.5677419355,55.9407483871,31.4334967742,75.8697290323,31.4334967742,38.2259612903,31.4334967742,18.8500645161,33.6476903226,64.2444387097,78.7652129032,32.9670193548,79.0420645161,47.6370580645,72.3988645161,47.3602064516,82.3636645161,47.6370580645,72.3988645161,47.3602064516,82.3636645161,sad
66.8249491525,40.9122711864,60.6435254237,41.638779661,72.6418983051,42.7297627119,31.5571525424,38.0029830508,37.3741016949,39.4576271186,24.2852338983,38.7303050847,56.281220339,30.7313898305,80.6408135593,39.4576271186,44.2828474576,30.3677288136,16.2864,32.1860338983,58.0987118644,84.1789830508,33.0109830508,82.3606779661,47.5549830508,75.0890847458,45.7366779661,92.9044067797,47.5549830508,75.0890847458,45.7366779661,92.9044067797,smile
65.1795692308,37.0995692308,60.2289230769,37.4296615385,71.4498461538,37.4296615385,30.5265230769,37.0995692308,35.8072615385,37.7590153846,25.9067076923,37.7590153846,56.2685538462,30.1691076923,76.4004923077,27.5283692308,40.0977230769,30.8285538462,18.9762461538,30.1691076923,61.8793846154,78.3522461538,33.4973538462,79.0124307692,46.6980923077,73.4016,47.0281846154,89.2430769231,46.6980923077,73.4016,47.0281846154,89.2430769231,sad
65.7217177914,39.061398773,60.4576196319,39.3246625767,70.7231411043,39.5873374233,33.0840736196,39.061398773,38.6114355828,39.5873374233,27.5567116564,39.3246625767,55.7200490798,29.5856687117,79.4090797546,30.6384883436,42.0332760736,29.5856687117,17.2914257669,29.5856687117,64.9325153374,72.7520981595,33.8738650307,73.0153619632,49.6661595092,68.0139386503,49.4028957055,85.9123435583,49.6661595092,68.0139386503,49.4028957055,85.9123435583,sad
64.3081411765,36.5630117647,60.2699294118,36.5630117647,72.6364235294,38.0775529412,31.2474352941,37.0678588235,36.5472,37.0678588235,25.9476705882,37.8251294118,55.7274352941,26.7207529412,78.1886117647,28.7396894118,40.08,27.2254870588,19.6382117647,28.4873223529,62.0363294118,66.8476235294,35.7899294118,66.0909176471,48.6607058824,64.3239529412,49.1655529412,75.4283294118,48.6607058824,64.3239529412,49.1655529412,75.4283294118,sad
65.8154366197,35.0796169014,60.0750422535,35.3817464789,71.5565070423,35.0796169014,31.0701971831,36.2881352113,37.1127887324,37.1945239437,24.4232112676,36.5902647887,57.355943662,29.6411492958,74.5778028169,28.1305014085,40.134084507,28.7347605634,19.8909295775,32.3603830986,64.6073239437,70.7317183099,34.6958873239,71.6376338028,49.5001690141,70.1273239437,49.8023661972,79.7956056338,49.5001690141,70.1273239437,49.8023661972,79.7956056338,smile
63.4839148936,37.4281531915,57.674893617,38.4917106383,68.586893617,36.9895489362,32.4473191489,38.3409702128,37.3154042553,38.6452425532,26.666212766,39.253787234,57.8730212766,29.9597617021,74.133106383,30.7340255319,41.2711489362,32.255387234,21.1887659574,33.4725446809,60.4405106383,71.8114042553,34.8813617021,72.7244255319,49.5203404255,69.3188085106,49.2963404255,78.7601702128,49.5203404255,69.3188085106,49.2963404255,78.7601702128,sad
67.4242689076,39.6287193277,61.655394958,39.268194958,73.1923361345,40.710292437,28.4869915966,37.4655731092,34.6156638655,37.826097479,22.7181176471,38.5471462185,56.2471260504,30.2549243697,80.7634285714,30.9759731092,39.5697478992,29.2174789916,18.0310588235,26.6496,60.2129747899,76.403092437,34.2550588235,76.042487395,46.3970420168,69.0490084034,46.152605042,82.8923697479,46.3970420168,69.0490084034,46.152605042,82.8923697479,smile
64.9971891892,36.6763243243,59.1991351351,37.8352432432,72.3407567568,37.4486486486,29.4374054054,37.4486486486,34.8488648649,37.8352432432,23.2536216216,38.6084324324,54.1742702703,29.3322378378,76.2058378378,28.1727135135,36.0086486486,30.1052540541,17.4555675676,31.2647783784,62.2918918919,74.5548108108,36.0086486486,74.9414054054,48.3770810811,67.9835675676,48.3770810811,83.8304864865,48.3770810811,67.9835675676,48.3770810811,83.8304864865,sad
66.3457959184,35.7196408163,60.6543673469,37.033077551,72.4751020408,36.1574204082,29.5719183673,36.1574204082,36.138122449,37.9086367347,24.3183673469,37.9086367347,56.7144489796,31.7796244898,78.1880816327,28.7384816327,37.8896326531,31.7796244898,16.8764081633,31.3417469388,63.7195102041,72.4937142857,36.576,73.3694693878,51.0230204082,69.8674285714,50.5851428571,81.6871836735,51.0230204082,69.8674285714,50.5851428571,81.6871836735,neu
66.4033432836,37.5383641791,60.320238806,38.1786985075,70.5657313433,38.1786985075,31.8247164179,37.8585313433,36.3073432836,38.4988656716,26.7023283582,38.1786985075,57.7590447761,30.1743761194,78.5702686567,33.0559522388,40.4697313433,32.0954507463,19.6470447761,30.1083940299,62.2416716418,73.3977313433,31.5044776119,73.7179701493,47.8337910448,68.5948656716,46.8730746269,82.6825074627,47.8337910448,68.5948656716,46.8730746269,82.6825074627,neu
68.3764363636,38.34144,60.5681454545,38.2278981818,73.8362181818,39.1214836364,30.1536,37.5613963636,36.7837090909,38.34144,23.5226181818,37.9514181818,58.0756363636,27.4320872727,78.5166545455,30.9309381818,36.7330909091,26.7642763636,16.8925090909,31.7109818182,63.696,75.0039272727,34.0538181818,75.7841454545,48.8744727273,69.9333818182,48.0951272727,84.7549090909,48.8744727273,69.9333818182,48.0951272727,84.7549090909,smile
67.6909879518,37.8586987952,61.9720481928,38.1183614458,73.4105060241,38.8985060241,31.0351807229,38.1183614458,35.9751325301,38.3786024096,25.056,38.8985060241,55.9922891566,26.4196626506,80.9493975904,28.7595180723,40.9145060241,27.1998072289,17.2568674699,30.5794698795,61.9720481928,73.7343614458,33.115373494,72.9542168675,45.5936385542,66.4551325301,46.3737831325,82.313060241,45.5936385542,66.4551325301,46.3737831325,82.313060241,neu
66.3188292683,38.5266731707,60.3886829268,38.8754731707,73.9925853659,38.5266731707,32.4846829268,38.1778731707,38.0651707317,38.8754731707,25.5086829268,38.8754731707,57.8567804878,30.6013658537,76.7828292683,29.8065170732,41.2042926829,31.550595122,19.9274926829,30.8529170732,61.0864390244,75.8485853659,34.5771707317,75.8485853659,47.832195122,71.6636097561,47.4833170732,82.1276097561,47.832195122,71.6636097561,47.4833170732,82.1276097561,neu
